time	V(c1)	V(n001)	V(in)	V(s)	V(c2)	V(n002)	Ic(Q1)	Ib(Q1)	Ie(Q1)	Ic(Q2)	Ib(Q2)	Ie(Q2)	I(D1)	I(L1)	I(L2)	I(R1)	I(R2)	I(V1)	I(V2)
4.094231072001506e-02	5.000000e+00	5.003306e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.004976e-11	5.014507e-12	-5.003244e-12	-1.050064e-14	5.015248e-12	-5.003637e-12	-1.049871e-14	0.000000e+00	5.014779e-12	4.995770e-12	-5.003306e-12	-5.004975e-12	1.000688e-11	-9.995499e-12
4.196631072001608e-02	5.000000e+00	5.003402e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.002935e-11	5.012287e-12	-5.003400e-12	-1.050001e-14	5.014507e-12	-5.004093e-12	-1.050047e-14	0.000000e+00	5.013872e-12	4.975876e-12	-5.003402e-12	-5.002935e-12	1.000749e-11	-9.951887e-12
4.299031072001711e-02	5.000000e+00	5.003381e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.002788e-11	5.013027e-12	-5.003603e-12	-1.049974e-14	5.013767e-12	-5.004039e-12	-1.050109e-14	-2.327100e-28	5.014114e-12	4.969799e-12	-5.003381e-12	-5.002789e-12	1.000764e-11	-9.948703e-12
4.401431072001813e-02	5.000000e+00	5.003089e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.004493e-11	5.013767e-12	-5.003175e-12	-1.050003e-14	5.015988e-12	-5.004704e-12	-1.050028e-14	9.867479e-14	5.013669e-12	5.076331e-12	-5.003088e-12	-5.004492e-12	1.000788e-11	-1.002168e-11
4.503831072001915e-02	5.000000e+00	5.003306e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.003448e-11	5.012287e-12	-5.003307e-12	-1.049999e-14	5.014507e-12	-5.003116e-12	-1.050092e-14	3.289160e-14	5.013779e-12	4.995687e-12	-5.003306e-12	-5.003448e-12	1.000642e-11	-1.002026e-11
4.606231072002018e-02	5.000000e+00	5.003100e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.002861e-11	5.013767e-12	-5.003108e-12	-1.049991e-14	5.014507e-12	-5.003642e-12	-1.050101e-14	8.474432e-29	5.014158e-12	4.942945e-12	-5.003100e-12	-5.002861e-12	1.000675e-11	-9.941659e-12
4.708631072002120e-02	5.000000e+00	5.003375e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.003759e-11	5.014507e-12	-5.003310e-12	-1.050067e-14	5.015988e-12	-5.005314e-12	-1.050167e-14	3.289160e-14	5.014846e-12	5.056378e-12	-5.003375e-12	-5.003759e-12	1.000862e-11	-9.972431e-12
4.811031072002223e-02	5.000000e+00	5.003538e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.005418e-11	5.012287e-12	-5.003685e-12	-1.050039e-14	5.015247e-12	-5.005228e-12	-1.049919e-14	-3.453561e-28	5.014150e-12	5.034917e-12	-5.003538e-12	-5.005418e-12	1.000891e-11	-9.954728e-12
4.913431072002325e-02	5.000000e+00	5.003310e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.000727e-11	5.012287e-12	-5.003398e-12	-1.050031e-14	5.013767e-12	-5.002255e-12	-1.050015e-14	-1.315664e-13	5.013841e-12	4.887552e-12	-5.003310e-12	-5.000727e-12	1.000565e-11	-9.955097e-12
5.015831072002427e-02	5.000000e+00	5.003396e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.003345e-11	5.014507e-12	-5.003330e-12	-1.050064e-14	5.014507e-12	-5.003034e-12	-1.049919e-14	-3.289160e-14	5.014867e-12	4.947892e-12	-5.003396e-12	-5.003345e-12	1.000636e-11	-9.977729e-12
5.118231072002530e-02	5.000000e+00	5.003684e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.001936e-11	5.013767e-12	-5.003743e-12	-1.050002e-14	5.011547e-12	-5.001335e-12	-1.050029e-14	-9.867479e-14	5.014775e-12	4.917439e-12	-5.003685e-12	-5.001936e-12	1.000508e-11	-1.003175e-11
5.220631072002632e-02	5.000000e+00	5.003644e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.001810e-11	5.013767e-12	-5.003787e-12	-1.050045e-14	5.011547e-12	-5.001894e-12	-1.050095e-14	-9.867479e-14	5.014250e-12	4.900410e-12	-5.003644e-12	-5.001810e-12	1.000568e-11	-9.986310e-12
5.323031072002735e-02	5.000000e+00	5.003424e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.007145e-11	5.012287e-12	-5.003570e-12	-1.050011e-14	5.016728e-12	-5.006661e-12	-1.050135e-14	2.302412e-13	5.014041e-12	5.194890e-12	-5.003423e-12	-5.007144e-12	1.001023e-11	-1.004305e-11
5.425431072002837e-02	5.000000e+00	5.003441e-11	0.000000e+00	5.000000e+00	5.000000e+00	4.996827e-11	5.012287e-12	-5.003675e-12	-1.050044e-14	5.007846e-12	-4.996159e-12	-1.050132e-14	-3.618076e-13	5.014117e-12	4.669830e-12	-5.003441e-12	-4.996827e-12	9.999833e-12	-1.004137e-11
5.527831072002939e-02	5.000000e+00	5.003369e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.004017e-11	5.012287e-12	-5.003369e-12	-1.050018e-14	5.014507e-12	-5.004465e-12	-1.050252e-14	9.867479e-14	5.013836e-12	5.101488e-12	-5.003368e-12	-5.004017e-12	1.000783e-11	-1.005881e-11
5.630231072003042e-02	5.000000e+00	5.003457e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.001708e-11	5.012287e-12	-5.003692e-12	-1.050046e-14	5.010067e-12	-5.000582e-12	-1.049673e-14	-9.867479e-14	5.014135e-12	4.897662e-12	-5.003457e-12	-5.001708e-12	1.000427e-11	-1.004908e-11
5.732631072003144e-02	5.000000e+00	5.003614e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.002971e-11	5.013767e-12	-5.003757e-12	-1.050039e-14	5.011547e-12	-5.000916e-12	-1.049753e-14	-3.289160e-14	5.014222e-12	4.940865e-12	-5.003614e-12	-5.002971e-12	1.000467e-11	-1.007568e-11
5.835031072003247e-02	5.000000e+00	5.003390e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.003870e-11	5.012287e-12	-5.003394e-12	-1.050007e-14	5.014507e-12	-5.003623e-12	-1.049827e-14	-2.202509e-25	5.013867e-12	4.995979e-12	-5.003390e-12	-5.003870e-12	1.000702e-11	-9.995526e-12
5.937431072003349e-02	5.000000e+00	5.003167e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.005906e-11	5.013767e-12	-5.003170e-12	-1.049970e-14	5.017468e-12	-5.006177e-12	-1.049859e-14	1.315664e-13	5.014229e-12	5.156410e-12	-5.003168e-12	-5.005906e-12	1.000935e-11	-1.002901e-11
6.039831072003451e-02	5.000000e+00	5.003417e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.005958e-11	5.012287e-12	-5.003563e-12	-1.050005e-14	5.017468e-12	-5.005988e-12	-1.050283e-14	1.315664e-13	5.014036e-12	5.173242e-12	-5.003417e-12	-5.005958e-12	1.000955e-11	-1.005486e-11
